[2026-09-01 14:06:30] NEW FILE TOTAL: 0/250 (0.0%) | LESSON PLANS: 0 (>20 req) | GRADES 1-12: [C1:0, C2:0, C3:0, C4:0, C5:0, C6:0, C7:0, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 15:45:32] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:46:02] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:46:32] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:47:02] NEW FILE TOTAL: 89/250 (35.6%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:9, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:47:32] NEW FILE TOTAL: 90/250 (36.0%) | LESSON PLANS: 31 (>20 req) | GRADES 1-12: [C1:11, C2:13, C3:8, C4:4, C5:10, C6:9, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:48:02] NEW FILE TOTAL: 92/250 (36.8%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 15:48:32] NEW FILE TOTAL: 92/250 (36.8%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:49:02] NEW FILE TOTAL: 92/250 (36.8%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:49:32] NEW FILE TOTAL: 92/250 (36.8%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:50:02] NEW FILE TOTAL: 92/250 (36.8%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:7, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:50:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 15:51:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:51:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:52:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:52:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:53:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:53:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:54:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:54:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:55:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:55:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:56:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:56:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:57:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:57:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:58:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:58:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:59:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 15:59:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:00:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:00:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:01:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:01:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:02:02] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:02:32] NEW FILE TOTAL: 93/250 (37.2%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:12, C2:13, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:03:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +3 in 30s
[2026-09-01 16:03:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:04:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:04:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:05:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:05:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:06:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:06:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:07:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:07:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:08:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:08:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:09:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:09:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:10:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:10:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:11:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:11:32] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:12:02] NEW FILE TOTAL: 96/250 (38.4%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:5, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:12:32] NEW FILE TOTAL: 97/250 (38.8%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:15, C3:8, C4:4, C5:10, C6:10, C7:8, C8:6, C9:7, C10:8, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 16:13:02] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 16:13:32] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:14:02] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:14:32] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:15:02] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:15:32] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:16:02] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:16:32] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:17:02] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:17:32] NEW FILE TOTAL: 99/250 (39.6%) | LESSON PLANS: 33 (>20 req) | GRADES 1-12: [C1:13, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:8, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:18:02] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 16:18:32] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:19:02] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:19:32] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:20:02] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:20:32] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:21:02] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:21:33] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:22:03] NEW FILE TOTAL: 101/250 (40.4%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:8, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:22:33] NEW FILE TOTAL: 103/250 (41.2%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:4, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 16:23:03] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 16:23:33] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:24:03] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:24:33] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:25:03] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:25:33] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:26:03] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:26:33] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:27:03] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:27:33] NEW FILE TOTAL: 104/250 (41.6%) | LESSON PLANS: 34 (>20 req) | GRADES 1-12: [C1:14, C2:16, C3:10, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:28:03] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 16:28:33] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:29:03] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:29:33] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:30:03] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:30:33] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:31:03] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:31:33] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:32:03] NEW FILE TOTAL: 106/250 (42.4%) | LESSON PLANS: 36 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:11, C4:5, C5:10, C6:10, C7:8, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:32:33] NEW FILE TOTAL: 108/250 (43.2%) | LESSON PLANS: 37 (>20 req) | GRADES 1-12: [C1:15, C2:16, C3:12, C4:5, C5:10, C6:10, C7:9, C8:7, C9:7, C10:9, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 16:33:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +3 in 30s
[2026-09-01 16:33:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:34:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:34:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
